epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1451,1.12818,3.18054,1.71892,0.29485,0.16104,0.10021,0.04152,1.99554,3.91414,1.94627,0.00331407,0.00331407,0.00331407
2,135.622,1.07503,2.57326,1.60002,0.04207,0.24363,0.05512,0.02123,2.05881,6.63957,2.16273,0.00658159,0.00658159,0.00658159
3,199.191,1.17425,2.74782,1.75438,0.16544,0.07478,0.00402,0.00116,2.93425,inf,7.37122,0.00978311,0.00978311,0.00978311
4,262.233,1.18174,2.77613,1.80182,0.01329,0.08969,0.0099,0.00323,2.4147,5.96978,2.82577,0.009703,0.009703,0.009703
5,325.491,1.12836,2.68297,1.75401,0.07322,0.11745,0.01497,0.00516,2.1389,4.93237,2.40281,0.009604,0.009604,0.009604
6,388.471,1.09134,2.59723,1.71773,0.09086,0.08136,0.01923,0.00539,2.31709,4.82466,2.55358,0.009505,0.009505,0.009505
7,451.29,1.0696,2.55745,1.69493,0.19302,0.08655,0.02276,0.00756,2.29372,4.4504,2.43247,0.009406,0.009406,0.009406
8,514.21,1.0771,2.5356,1.68562,0.09199,0.10443,0.0246,0.00846,2.17286,4.50744,2.26876,0.009307,0.009307,0.009307
9,576.675,1.03942,2.48628,1.6488,0.04246,0.12512,0.02862,0.01044,2.1658,4.15885,2.20016,0.009208,0.009208,0.009208
10,639.909,1.0408,2.47312,1.64468,0.09448,0.08441,0.02676,0.00949,2.17719,4.10884,2.21122,0.009109,0.009109,0.009109
11,702.657,1.02263,2.43584,1.63055,0.11091,0.12021,0.03379,0.01062,2.17222,3.87867,2.17763,0.00901,0.00901,0.00901
12,765.012,1.01466,2.41303,1.62035,0.06818,0.11844,0.04902,0.01892,2.17505,3.65028,2.19208,0.008911,0.008911,0.008911
13,828.213,1.01572,2.39421,1.61325,0.06651,0.08175,0.03429,0.01127,2.22767,3.97149,2.27452,0.008812,0.008812,0.008812
14,891.098,0.99542,2.3722,1.59896,0.05115,0.10522,0.03776,0.0137,2.26678,3.60896,2.25988,0.008713,0.008713,0.008713
15,953.569,0.98704,2.33384,1.59146,0.07407,0.19165,0.05486,0.01919,2.23553,3.61828,2.23303,0.008614,0.008614,0.008614
16,1016.22,0.97639,2.31183,1.58036,0.12041,0.16573,0.04763,0.01799,2.22219,3.74917,2.23068,0.008515,0.008515,0.008515
17,1078.95,0.97642,2.3063,1.57585,0.06495,0.14693,0.04789,0.01693,2.27873,3.78084,2.30417,0.008416,0.008416,0.008416
18,1141.31,0.97021,2.29212,1.5691,0.05119,0.15297,0.03979,0.01194,2.33235,3.88915,2.40483,0.008317,0.008317,0.008317
19,1203.81,0.97085,2.27269,1.56698,0.05353,0.10125,0.03708,0.01079,2.37258,3.99372,2.46395,0.008218,0.008218,0.008218
20,1266.01,0.96014,2.26201,1.56372,0.06375,0.14973,0.05811,0.02185,2.27069,3.92576,2.27402,0.008119,0.008119,0.008119
21,1328.33,0.96585,2.25899,1.55488,0.07583,0.19225,0.0526,0.02012,2.29559,3.70979,2.30202,0.00802,0.00802,0.00802
22,1391.28,0.965,2.23364,1.55127,0.07272,0.12794,0.04738,0.01651,2.23138,3.5866,2.19822,0.007921,0.007921,0.007921
23,1454.1,0.94386,2.20992,1.53769,0.07515,0.12405,0.04826,0.01792,2.21381,3.85818,2.24999,0.007822,0.007822,0.007822
