epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.479,0.86532,2.83836,1.289,0.48586,0.57331,0.48257,0.37235,0.91579,1.50392,1.28842,0.00332923,0.00332923,0.00332923
2,312.226,0.90888,1.57675,1.2911,0.51424,0.56086,0.5288,0.39669,1.02418,1.52984,1.37656,0.0065966,0.0065966,0.0065966
3,460.816,0.98968,1.55687,1.36426,0.34538,0.32628,0.27254,0.19279,1.22616,2.49237,1.62294,0.00979798,0.00979798,0.00979798
4,607.727,1.03169,1.53396,1.41701,0.59575,0.57834,0.59808,0.44002,1.05736,1.45139,1.43912,0.009703,0.009703,0.009703
5,754.034,0.96206,1.3043,1.36847,0.68784,0.65846,0.67655,0.51283,0.97494,1.21173,1.36682,0.009604,0.009604,0.009604
6,900.973,0.90824,1.12155,1.31729,0.71033,0.66925,0.72553,0.55744,0.9498,1.0374,1.32547,0.009505,0.009505,0.009505
7,1047.47,0.88132,1.03971,1.2871,0.78417,0.67131,0.75504,0.58744,0.89931,0.98179,1.28086,0.009406,0.009406,0.009406
8,1194.31,0.85344,0.95285,1.26521,0.77905,0.68259,0.76207,0.59234,0.90201,0.93979,1.27858,0.009307,0.009307,0.009307
9,1341.17,0.83447,0.9027,1.25368,0.82723,0.69298,0.78672,0.60964,0.90668,0.93166,1.29035,0.009208,0.009208,0.009208
10,1487.75,0.81591,0.84457,1.22982,0.8085,0.70818,0.78573,0.61867,0.86343,0.88002,1.23479,0.009109,0.009109,0.009109
11,1634.81,0.79598,0.8234,1.21721,0.86458,0.72689,0.82721,0.65558,0.82917,0.77991,1.21421,0.00901,0.00901,0.00901
12,1781.06,0.78335,0.78302,1.20581,0.85864,0.73719,0.82352,0.65559,0.82803,0.78481,1.22485,0.008911,0.008911,0.008911
13,1928.05,0.77038,0.74033,1.19849,0.85626,0.74972,0.83571,0.66451,0.82,0.74997,1.2177,0.008812,0.008812,0.008812
14,2074.16,0.76647,0.72166,1.18934,0.87427,0.7464,0.84452,0.67506,0.80687,0.72352,1.21137,0.008713,0.008713,0.008713
15,2220.87,0.75255,0.69249,1.18381,0.86849,0.7994,0.86665,0.68813,0.8027,0.67636,1.19139,0.008614,0.008614,0.008614
16,2367.23,0.74537,0.67674,1.17338,0.86702,0.77355,0.87184,0.69312,0.80289,0.68367,1.19223,0.008515,0.008515,0.008515
17,2514.3,0.73882,0.65966,1.17097,0.88496,0.79476,0.87852,0.70499,0.77987,0.65458,1.18185,0.008416,0.008416,0.008416
18,2660.51,0.73017,0.64507,1.16822,0.88005,0.79315,0.88347,0.7105,0.77245,0.64094,1.17344,0.008317,0.008317,0.008317
19,2806.32,0.72387,0.63282,1.15963,0.88394,0.80625,0.88239,0.71805,0.75681,0.63243,1.16434,0.008218,0.008218,0.008218
20,2952.08,0.71992,0.61192,1.154,0.88225,0.81588,0.89104,0.7218,0.77581,0.61613,1.17125,0.008119,0.008119,0.008119
21,3098.7,0.70829,0.59739,1.14555,0.90882,0.80659,0.89353,0.72447,0.75544,0.59677,1.15152,0.00802,0.00802,0.00802
22,3245.2,0.70811,0.58737,1.14536,0.90627,0.81248,0.90168,0.73542,0.75386,0.58037,1.16417,0.007921,0.007921,0.007921
23,3392.41,0.70098,0.57319,1.141,0.89125,0.82372,0.90391,0.73613,0.74589,0.58005,1.14997,0.007822,0.007822,0.007822
24,3538.96,0.69474,0.55417,1.13964,0.87541,0.82718,0.89768,0.73479,0.73505,0.56742,1.14688,0.007723,0.007723,0.007723
25,3686.3,0.69031,0.55004,1.13136,0.91414,0.82235,0.91175,0.74305,0.73325,0.54933,1.1403,0.007624,0.007624,0.007624
26,3833.06,0.68681,0.53737,1.13394,0.89233,0.84099,0.9108,0.74171,0.73423,0.53376,1.14401,0.007525,0.007525,0.007525
27,3979.49,0.68646,0.53714,1.1265,0.91156,0.83303,0.91003,0.74606,0.7179,0.53216,1.12976,0.007426,0.007426,0.007426
28,4125.78,0.67612,0.51946,1.12152,0.91335,0.82848,0.91562,0.7535,0.71578,0.52308,1.12651,0.007327,0.007327,0.007327
29,4272.36,0.6787,0.51694,1.12404,0.88929,0.85113,0.91011,0.74879,0.71484,0.52212,1.12526,0.007228,0.007228,0.007228
30,4419.44,0.67161,0.50543,1.11768,0.90117,0.83434,0.91187,0.74965,0.71851,0.52967,1.12405,0.007129,0.007129,0.007129
