epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.363,0.85308,2.91008,1.29094,0.64178,0.58053,0.63196,0.49816,0.85148,1.30063,1.24363,0.0033235,0.0033235,0.0033235
2,263.299,0.85888,1.3461,1.25588,0.5168,0.50096,0.52379,0.38542,1.07604,1.96061,1.47891,0.00659093,0.00659093,0.00659093
3,387.821,0.9999,1.38399,1.37532,0.58465,0.43906,0.47259,0.32769,1.2634,2.11149,1.69592,0.00979236,0.00979236,0.00979236
4,510.449,0.97827,1.1847,1.36578,0.67869,0.48094,0.55648,0.41247,1.13144,1.72365,1.53357,0.009703,0.009703,0.009703
5,632.937,0.91828,1.00865,1.32427,0.76004,0.65477,0.73901,0.5662,0.95534,1.08185,1.32297,0.009604,0.009604,0.009604
6,755.532,0.87814,0.91019,1.28028,0.82595,0.67719,0.77297,0.59657,0.94668,0.99306,1.34511,0.009505,0.009505,0.009505
7,877.722,0.84715,0.82997,1.26537,0.75945,0.58061,0.67199,0.51593,1.00704,1.33177,1.39699,0.009406,0.009406,0.009406
8,1000.29,0.82227,0.76428,1.24287,0.86965,0.74033,0.82836,0.63913,0.89513,0.81001,1.29423,0.009307,0.009307,0.009307
9,1123.05,0.80143,0.72316,1.22326,0.84791,0.77182,0.84048,0.65999,0.86366,0.76385,1.24231,0.009208,0.009208,0.009208
10,1245.92,0.77415,0.69262,1.20246,0.91144,0.76861,0.86243,0.67839,0.83779,0.718,1.2357,0.009109,0.009109,0.009109
11,1368.69,0.7599,0.65564,1.19496,0.88578,0.79785,0.87132,0.6833,0.84271,0.6734,1.22539,0.00901,0.00901,0.00901
12,1491.65,0.74856,0.62731,1.18623,0.90079,0.78649,0.87047,0.69041,0.8146,0.66446,1.20237,0.008911,0.008911,0.008911
13,1614.22,0.7369,0.6049,1.17303,0.87767,0.80571,0.88062,0.70852,0.7929,0.64524,1.18486,0.008812,0.008812,0.008812
14,1736.55,0.72376,0.58922,1.16075,0.88152,0.75433,0.83856,0.66238,0.8271,0.77166,1.23529,0.008713,0.008713,0.008713
15,1859.13,0.71681,0.5705,1.15314,0.90984,0.81139,0.8949,0.71785,0.77906,0.60337,1.179,0.008614,0.008614,0.008614
16,1982,0.70467,0.55273,1.14438,0.89725,0.82463,0.89013,0.71968,0.76399,0.59449,1.16577,0.008515,0.008515,0.008515
17,2104.4,0.69873,0.54786,1.14609,0.91155,0.83269,0.89603,0.7267,0.75172,0.57548,1.1555,0.008416,0.008416,0.008416
18,2226.78,0.69405,0.53022,1.13543,0.89967,0.82934,0.89867,0.72501,0.76279,0.59081,1.16213,0.008317,0.008317,0.008317
19,2349.09,0.68391,0.51851,1.1263,0.90524,0.83727,0.90829,0.7375,0.74224,0.55787,1.1448,0.008218,0.008218,0.008218
20,2471.33,0.68089,0.51153,1.1244,0.8895,0.83462,0.89776,0.73258,0.74307,0.56305,1.14004,0.008119,0.008119,0.008119
