epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.905,0.85403,2.84809,1.29279,0.46381,0.55915,0.50185,0.38217,0.91317,1.52888,1.30784,0.00332841,0.00332841,0.00332841
2,405.166,0.88773,1.56411,1.28153,0.54036,0.56234,0.58554,0.44883,0.97821,1.40163,1.33901,0.00659579,0.00659579,0.00659579
3,591.072,0.99157,1.57518,1.38288,0.45542,0.49119,0.44996,0.31993,1.17571,1.85825,1.56655,0.00979717,0.00979717,0.00979717
4,775.957,1.02095,1.53044,1.4119,0.55927,0.57929,0.57236,0.42204,1.05156,1.42147,1.43714,0.009703,0.009703,0.009703
5,960.176,0.95439,1.28691,1.36471,0.6697,0.58165,0.6175,0.46269,1.0273,1.29969,1.42062,0.009604,0.009604,0.009604
6,1143.9,0.91266,1.14681,1.32625,0.67803,0.66388,0.68577,0.52329,0.93749,1.14056,1.3289,0.009505,0.009505,0.009505
7,1328.05,0.87441,1.05052,1.29487,0.75779,0.64764,0.71865,0.55338,0.93245,1.02421,1.31527,0.009406,0.009406,0.009406
8,1512.09,0.8471,0.95908,1.2699,0.82574,0.69208,0.78163,0.61172,0.88096,0.91864,1.2704,0.009307,0.009307,0.009307
9,1697.79,0.82085,0.88487,1.25404,0.76756,0.69172,0.76316,0.59271,0.90247,0.9786,1.28804,0.009208,0.009208,0.009208
10,1882.94,0.80062,0.83749,1.23124,0.82514,0.73498,0.80837,0.63979,0.83793,0.85554,1.22543,0.009109,0.009109,0.009109
11,2067.81,0.79248,0.79718,1.21533,0.85507,0.73358,0.82042,0.64924,0.82852,0.78908,1.21378,0.00901,0.00901,0.00901
12,2253.39,0.77851,0.75489,1.20743,0.85747,0.75525,0.84374,0.66788,0.83815,0.75001,1.22377,0.008911,0.008911,0.008911
13,2440.34,0.76955,0.73252,1.20063,0.87349,0.75419,0.83844,0.66485,0.82472,0.7537,1.22037,0.008812,0.008812,0.008812
14,2629.48,0.76101,0.70631,1.19376,0.85831,0.77158,0.84509,0.67406,0.80575,0.71638,1.21158,0.008713,0.008713,0.008713
15,2814.6,0.75642,0.69097,1.18442,0.86915,0.75817,0.85308,0.67914,0.81697,0.71596,1.21167,0.008614,0.008614,0.008614
16,3001.27,0.74229,0.66699,1.17444,0.87537,0.78282,0.86457,0.6989,0.78195,0.66822,1.17519,0.008515,0.008515,0.008515
17,3185.49,0.72978,0.64161,1.16975,0.86854,0.81303,0.87798,0.69742,0.78199,0.64242,1.18526,0.008416,0.008416,0.008416
18,3370.98,0.72799,0.63337,1.16284,0.88825,0.80473,0.88804,0.71244,0.77055,0.62554,1.18033,0.008317,0.008317,0.008317
19,3556.77,0.71974,0.61032,1.15802,0.8983,0.81528,0.89174,0.72068,0.75908,0.58944,1.16063,0.008218,0.008218,0.008218
20,3742.68,0.71272,0.60587,1.15728,0.9032,0.79597,0.88371,0.71449,0.76812,0.6085,1.16433,0.008119,0.008119,0.008119
21,3927.46,0.70743,0.59408,1.14719,0.90953,0.81063,0.89411,0.72904,0.74905,0.59219,1.16177,0.00802,0.00802,0.00802
22,4116.31,0.70276,0.5717,1.14958,0.89136,0.82021,0.89979,0.73158,0.74584,0.56607,1.14934,0.007921,0.007921,0.007921
23,4315.97,0.69127,0.57067,1.13822,0.92054,0.81566,0.90601,0.73544,0.74481,0.55402,1.15487,0.007822,0.007822,0.007822
24,4504.32,0.68282,0.54306,1.13267,0.91929,0.82444,0.90661,0.74251,0.72706,0.54653,1.13184,0.007723,0.007723,0.007723
25,4693.59,0.68839,0.54542,1.13186,0.90914,0.83561,0.91055,0.74146,0.74037,0.5373,1.14866,0.007624,0.007624,0.007624
26,4881.94,0.6758,0.53123,1.1241,0.89243,0.84993,0.90804,0.74237,0.73419,0.53441,1.13906,0.007525,0.007525,0.007525
27,5070.93,0.67556,0.51951,1.1251,0.91806,0.83102,0.91375,0.75013,0.72801,0.5241,1.13766,0.007426,0.007426,0.007426
