epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3853,0.83193,2.34454,1.1292,0.63829,0.58507,0.60104,0.46384,0.88226,1.46056,1.15342,0.00014352,0.00014352,0.00014352
2,98.8814,0.80722,1.08982,1.08025,0.54214,0.44119,0.45284,0.32666,1.06419,2.23105,1.37661,0.000285664,0.000285664,0.000285664
3,147.3,0.83788,0.93059,1.0978,0.59964,0.46889,0.52443,0.37676,1.06306,2.22804,1.4691,0.000424937,0.000424937,0.000424937
4,195.536,0.81313,0.78636,1.08897,0.68119,0.61507,0.68979,0.53245,0.90668,1.33101,1.15379,0.00042208,0.00042208,0.00042208
5,243.835,0.75718,0.65681,1.05041,0.83013,0.72662,0.79376,0.60548,0.89269,0.93086,1.15294,0.000417774,0.000417774,0.000417774
6,292.057,0.72262,0.56752,1.02806,0.75072,0.67644,0.74862,0.58464,0.85175,1.33598,1.11011,0.000413467,0.000413467,0.000413467
7,340.12,0.69184,0.52287,1.01025,0.88665,0.74219,0.82222,0.63886,0.86522,0.73704,1.10608,0.000409161,0.000409161,0.000409161
8,388.309,0.66384,0.4694,0.99446,0.87458,0.7965,0.86462,0.68673,0.77546,0.62669,1.05831,0.000404854,0.000404854,0.000404854
9,436.414,0.63481,0.4333,0.98024,0.88294,0.78404,0.8577,0.68962,0.77422,0.62028,1.04977,0.000400548,0.000400548,0.000400548
10,484.701,0.61091,0.40864,0.96637,0.89004,0.77795,0.85217,0.6783,0.78068,0.6302,1.04596,0.000396242,0.000396242,0.000396242
11,532.848,0.58543,0.38703,0.9524,0.89205,0.79779,0.86803,0.6989,0.7519,0.60305,1.02986,0.000391935,0.000391935,0.000391935
12,581.112,0.56048,0.35997,0.94244,0.90177,0.77948,0.84944,0.68772,0.75377,0.60282,1.04439,0.000387629,0.000387629,0.000387629
13,629.08,0.54402,0.34491,0.93163,0.92874,0.78275,0.86877,0.70723,0.74513,0.59548,1.03919,0.000383322,0.000383322,0.000383322
14,677.613,0.52767,0.33047,0.92492,0.88215,0.81112,0.87223,0.70304,0.75621,0.57396,1.04913,0.000379015,0.000379015,0.000379015
15,725.619,0.50292,0.32185,0.912,0.90118,0.81539,0.87891,0.71818,0.72368,0.54747,1.03073,0.000374709,0.000374709,0.000374709
