epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4466,0.79967,2.53061,1.1344,0.54369,0.52759,0.53116,0.40105,0.88845,1.56081,1.19558,0.000143441,0.000143441,0.000143441
2,96.1081,0.83225,1.20924,1.11569,0.44565,0.43344,0.45478,0.32835,1.0259,2.43088,1.34933,0.000285585,0.000285585,0.000285585
3,143.719,0.8722,1.07062,1.14522,0.55429,0.54953,0.58901,0.40959,1.1008,2.07374,1.44926,0.000424859,0.000424859,0.000424859
4,191.778,0.86067,0.94954,1.14332,0.73726,0.63703,0.70185,0.53245,0.91064,1.30969,1.19798,0.00042208,0.00042208,0.00042208
5,239.513,0.80465,0.79489,1.1001,0.82226,0.69465,0.79205,0.59739,0.90819,0.93132,1.18717,0.000417774,0.000417774,0.000417774
6,287.238,0.78478,0.69626,1.08437,0.80977,0.69778,0.77779,0.59885,0.86431,0.85815,1.11491,0.000413467,0.000413467,0.000413467
7,334.62,0.7538,0.6404,1.06364,0.80931,0.72257,0.78847,0.61704,0.82006,0.81659,1.06793,0.000409161,0.000409161,0.000409161
8,382.64,0.73299,0.61576,1.05031,0.87855,0.76136,0.84909,0.67065,0.79221,0.66844,1.08346,0.000404854,0.000404854,0.000404854
9,430.458,0.72257,0.56341,1.04798,0.8927,0.78042,0.85395,0.67572,0.79431,0.6243,1.06101,0.000400548,0.000400548,0.000400548
10,478.125,0.7089,0.54399,1.03353,0.9066,0.78821,0.86642,0.69031,0.77106,0.58366,1.03456,0.000396242,0.000396242,0.000396242
11,525.956,0.69739,0.51362,1.03123,0.90291,0.79065,0.86739,0.69283,0.75925,0.58535,1.03354,0.000391935,0.000391935,0.000391935
12,573.617,0.68204,0.49393,1.02388,0.91864,0.80013,0.88118,0.71784,0.71282,0.53796,1.01198,0.000387629,0.000387629,0.000387629
13,621.293,0.67222,0.49042,1.01245,0.85602,0.80381,0.86081,0.69102,0.73016,0.60874,1.01039,0.000383322,0.000383322,0.000383322
14,668.556,0.66282,0.46673,1.01125,0.91642,0.81227,0.8899,0.71784,0.73073,0.50122,1.01158,0.000379015,0.000379015,0.000379015
15,716.265,0.65741,0.45924,1.00595,0.92244,0.81816,0.89855,0.7295,0.71247,0.4952,0.99953,0.000374709,0.000374709,0.000374709
16,763.902,0.65085,0.45114,1.00401,0.90683,0.84484,0.90287,0.73149,0.71144,0.48187,1.01954,0.000370403,0.000370403,0.000370403
