epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.302,0.88295,3.07278,1.23655,0.56339,0.47456,0.47824,0.34446,1.01506,1.87751,1.36663,0.00331984,0.00331984,0.00331984
2,197.596,0.8993,1.54287,1.20618,0.4927,0.46774,0.46534,0.32706,1.12836,1.73807,1.47579,0.0065873,0.0065873,0.0065873
3,290.055,1.0531,1.64647,1.32479,0.45509,0.17582,0.14968,0.08108,1.86791,4.74955,2.95246,0.00978877,0.00978877,0.00978877
4,382.707,1.13571,1.62079,1.42186,0.55357,0.32717,0.32569,0.22312,1.35848,5.1444,1.67989,0.009703,0.009703,0.009703
5,475.468,1.05256,1.37377,1.35439,0.63595,0.42469,0.47598,0.3484,1.18931,1.83444,1.5212,0.009604,0.009604,0.009604
6,567.493,0.98033,1.18955,1.30664,0.62053,0.5809,0.61242,0.44921,1.09803,1.24831,1.38301,0.009505,0.009505,0.009505
7,659.186,0.94344,1.06784,1.26584,0.68646,0.61242,0.66879,0.50319,1.00851,1.06558,1.30722,0.009406,0.009406,0.009406
8,751.335,0.90819,0.96883,1.2364,0.7566,0.63057,0.69947,0.5384,0.93201,0.98455,1.23848,0.009307,0.009307,0.009307
9,843.753,0.87448,0.90305,1.21198,0.77982,0.65974,0.72755,0.56188,0.94251,0.92842,1.24524,0.009208,0.009208,0.009208
10,936.158,0.85453,0.86502,1.19138,0.74033,0.67241,0.72292,0.56566,0.91556,0.91574,1.22184,0.009109,0.009109,0.009109
11,1028.73,0.8355,0.80524,1.1823,0.79492,0.68201,0.74436,0.58684,0.89562,0.84914,1.21643,0.00901,0.00901,0.00901
12,1121.42,0.82071,0.78027,1.16695,0.79841,0.69843,0.7667,0.60234,0.88449,0.80034,1.19987,0.008911,0.008911,0.008911
13,1214.06,0.80133,0.73278,1.15668,0.79769,0.73055,0.79128,0.62468,0.87096,0.75607,1.20197,0.008812,0.008812,0.008812
14,1306.29,0.78864,0.71123,1.14323,0.822,0.70999,0.78931,0.62422,0.8488,0.74522,1.17942,0.008713,0.008713,0.008713
15,1398.43,0.78011,0.68435,1.13376,0.83072,0.73909,0.8096,0.64025,0.85393,0.70943,1.16378,0.008614,0.008614,0.008614
16,1490.7,0.76532,0.66729,1.13011,0.82798,0.72639,0.80633,0.64028,0.84196,0.71571,1.16883,0.008515,0.008515,0.008515
17,1582.85,0.76353,0.65749,1.12454,0.8495,0.7323,0.81711,0.65182,0.81936,0.69415,1.14829,0.008416,0.008416,0.008416
18,1675.43,0.75063,0.62411,1.11807,0.81523,0.78088,0.83039,0.66673,0.81774,0.66447,1.1611,0.008317,0.008317,0.008317
19,1768,0.74323,0.61358,1.11453,0.84282,0.76262,0.83098,0.66707,0.81416,0.68158,1.14924,0.008218,0.008218,0.008218
20,1860.22,0.73209,0.60562,1.09607,0.82615,0.74651,0.82072,0.65777,0.81519,0.70083,1.14735,0.008119,0.008119,0.008119
21,1952.26,0.73159,0.58524,1.10459,0.84722,0.77453,0.84409,0.68297,0.79431,0.62179,1.1353,0.00802,0.00802,0.00802
